dataset,Delta,bx,by,RMSE,MAE,Huber,points
附件1,-196.1817014517301,-0.005766745195464162,0.024092078207962775,0.14024452487483435,0.1384157410610818,0.009834263378684014,6982
附件1,-196.1317014517301,-0.005893258132028123,0.024567637809902454,0.14335657993040538,0.14149236954826314,0.01027555450467135,6981
附件1,-196.0817014517301,-0.006105114233198261,0.025158593930130202,0.14648157181285418,0.1445690253629381,0.010728425440382177,6981
附件1,-196.0317014517301,-0.006213804122823241,0.025639559828449066,0.1495933851376008,0.14764560547680278,0.011189090438463282,6980
附件1,-195.98170145173012,-0.0062792466065871855,0.026183043311780674,0.15270916535590423,0.15072259603278695,0.011660044591848452,6980
附件1,-195.9317014517301,-0.006405732983089774,0.02669046253671503,0.1558237322396096,0.15379897402710696,0.012140517764540774,6979
附件1,-195.8817014517301,-0.006624715274418769,0.0271573318352476,0.15893939743604854,0.15687681411591098,0.012630866028667096,6979
附件1,-195.8317014517301,-0.006731379276009086,0.027672083618226817,0.16205379526572816,0.15995312007552592,0.013130716280013268,6978
附件1,-195.7817014517301,-0.006791722871084427,0.028246619312235044,0.16517185645130275,0.16302992779179415,0.013640871081784882,6978
附件1,-195.73170145173012,-0.006918212174770844,0.028741551226138085,0.1682854667423138,0.166106427026657,0.0141599991583392,6977
附件1,-195.6817014517301,-0.007144320370539248,0.02924177471218492,0.17140407462574167,0.16918407655381917,0.014689678399153411,6977
附件1,-195.6317014517301,-0.007248896306220942,0.029729308820794942,0.17451628842958603,0.17226062518259666,0.015227967463619228,6976
附件1,-195.5817014517301,-0.007304171936293291,0.030257382728092086,0.17763059679035137,0.1753379106889337,0.015776314458048193,6976
附件1,-195.5317014517301,-0.0074306960238654796,0.030737159014667448,0.18074304746108832,0.1784145453715141,0.01633402460276061,6975
附件1,-195.48170145173012,-0.007663929817498971,0.031323545914347606,0.18386865746191286,0.18149153163118917,0.016903841598423123,6975
附件1,-195.4317014517301,-0.007766350758153351,0.031812523779720436,0.18698089417631697,0.18456805933765488,0.017480927393487524,6974
附件1,-195.3817014517301,-0.007816591751569124,0.03225597214414139,0.19008852175846125,0.18764614958653714,0.0180668230521585,6974
附件1,-195.3317014517301,-0.00794318489641821,0.03272892232706859,0.1932004532783893,0.19072283628778694,0.018663207573487547,6973
附件1,-195.2817014517301,-0.008183543960482265,0.03334964526226525,0.19632900018270902,0.1937995895276081,0.01927253815637108,6973
附件1,-195.23170145173012,-0.00828373814936434,0.03379447801451585,0.19943774128621627,0.19687648492516865,0.01988770632467387,6972
附件1,-195.1817014517301,-0.008328980265143393,0.03433483294184625,0.2025526756945024,0.19995377346311477,0.020513793215501133,6972
附件1,-195.1317014517301,-0.0084556791279784,0.03483086888875375,0.20566635875757658,0.20303023172529935,0.0211493255623001,6971
附件1,-195.0817014517301,-0.008703163087363741,0.035253223636310116,0.20877998388737282,0.20610880533114637,0.021794540836005828,6971
附件1,-195.0317014517301,-0.008801054021343901,0.03574857178234092,0.21189250392563413,0.2091852242390242,0.02244921660993744,6970
附件1,-194.98170145173012,-0.008841335419878416,0.03638411048123441,0.21501454343573614,0.2122617043379955,0.02311562694443903,6970
附件1,-194.9317014517301,-0.008968179061625836,0.03688191295251053,0.21812833258314224,0.21533811271030695,0.023789984737750954,6969
附件1,-194.8817014517301,-0.009222787535262622,0.0373142285005833,0.22124301991027567,0.2184166423181526,0.024474236929509324,6969
附件1,-194.8317014517301,-0.009318293905139718,0.037781711849853905,0.2243532793075303,0.22149326541429745,0.025167196968021353,6968
附件1,-194.7817014517301,-0.009353655175635023,0.03830280372401651,0.22746637078551188,0.2245707834017026,0.025870474919165987,6968
附件1,-194.73170145173012,-0.009480685051646454,0.03870705221594051,0.2305730197096722,0.22764798618053542,0.026581958709018444,6967
附件1,-194.6817014517301,-0.009742417610785203,0.039358377489647545,0.2337046862498842,0.23072460350491436,0.027308940187578404,6967
附件1,-194.6317014517301,-0.00983545332666047,0.03985310350890331,0.23681687114970135,0.23380092675670786,0.028041115230567126,6966
附件1,-194.5817014517301,-0.00986593746457387,0.040265594905851465,0.23992150848955754,0.23687942532230577,0.028781165117952416,6966
附件1,-194.5317014517301,-0.009993197432987877,0.04071191049944467,0.24303131489108756,0.23995618936079327,0.029532110008845477,6965
附件1,-194.48170145173012,-0.010262053628020684,0.04135025445841567,0.2461622424160756,0.24303295099923983,0.030297924795655382,6965
附件1,-194.4317014517301,-0.010352527831550162,0.04175260548327231,0.2492672576016715,0.24611002878832625,0.03106708285612903,6964
附件1,-194.3817014517301,-0.010378180252518243,0.04228979343865874,0.25238115656135884,0.24918741070280354,0.03184812409362456,6964
附件1,-194.3317014517301,-0.010505716551783006,0.04276468894726426,0.25549306352258505,0.25226384346285374,0.032638352754077844,6963
附件1,-194.2817014517301,-0.010781695912238654,0.04317555676506135,0.2586070549104466,0.255342675205754,0.03343880442472739,6963
附件1,-194.23170145173012,-0.010869512940951953,0.043621167988270315,0.2617152049009561,0.2584192908757857,0.03424742423817473,6962
附件1,-194.1817014517301,-0.010890381472613342,0.04427575394100769,0.2648377078814131,0.2614955873485017,0.03506950575794035,6962
附件1,-194.1317014517301,-0.011018242761637431,0.04483849724743871,0.2679561868240763,0.26457115600435793,0.035900259028649635,6961
附件1,-194.0817014517301,-0.011301344769364619,0.045222895699607024,0.27106841780855756,0.2676502118986634,0.03673904356661737,6961
附件1,-194.0317014517301,-0.011386404197578859,0.04566341405285168,0.27417598121494563,0.2707267745945537,0.037586234337589106,6960
附件1,-193.98170145173012,-0.011402539084265362,0.04618852001471552,0.2772885064381035,0.2738042218377101,0.038444457901337076,6960
附件1,-193.9317014517301,-0.011530776385606512,0.0464559625106471,0.280384786241428,0.2768823922204577,0.039307814177825626,6959
附件1,-193.8817014517301,-0.011821000516491598,0.047127734039118074,0.2835188057519033,0.27995881944168965,0.040191456607492744,6959
附件1,-193.8317014517301,-0.0119031971363448,0.04770308919702576,0.2866362698274003,0.2830340521960313,0.04108017559028312,6958
附件1,-193.7817014517301,-0.011914651032340795,0.04808633291524711,0.28973792605651233,0.28611274645872303,0.041974032897764496,6958
附件1,-193.73170145173012,-0.012043317795903619,0.04851780571590936,0.2928463688151425,0.28918928950524264,0.042879497864107226,6957
附件1,-193.6817014517301,-0.01234066347814844,0.04916004317422473,0.29597842765362403,0.2922659920114746,0.04380161481815578,6957
附件1,-193.6317014517301,-0.012419887284641273,0.049519959437973826,0.2990795469627806,0.2953430606052531,0.04472428770573105,6956
附件1,-193.5817014517301,-0.01242671526560779,0.05000974381663836,0.3021889378598854,0.2984207376392428,0.04565907708244284,6956
附件1,-193.5317014517301,-0.012555867307356916,0.05056694331587064,0.3053066461362489,0.3014960089945847,0.04660607408748236,6955
附件1,-193.48170145173012,-0.012860333948303104,0.050964318815418186,0.3084206690649623,0.30457491851764085,0.04756165455323949,6955
附件1,-193.4317014517301,-0.012936470192269844,0.051324365421564544,0.31152162949246404,0.3076518735787582,0.048522862820820016,6954
